YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,SCHED_DEP_TIME,SCHED_ARR_TIME,DELAY
2017,1,1,7,6,19805,1766,11298,12889,1055,1154,0
2017,1,1,8,7,19805,1766,11298,12889,1055,1154,0
2017,1,1,1,7,19805,1766,13930,11298,710,948,0
2017,1,1,2,1,19805,1766,13930,11298,710,948,0
2017,1,1,3,2,19805,1766,13930,11298,710,948,0
2017,1,1,4,3,19805,1766,13930,11298,710,948,0
2017,1,1,5,4,19805,1766,13930,11298,710,948,0
2017,1,1,6,5,19805,1766,13930,11298,710,948,0
2017,1,1,7,6,19805,1766,13930,11298,710,948,0
2017,1,1,8,7,19805,1766,13930,11298,710,948,0
2017,1,1,14,6,19805,1767,11278,11057,1736,1916,0
2017,1,1,21,6,19805,1767,11278,11057,1736,1916,0
2017,1,1,28,6,19805,1767,11278,11057,1736,1916,0
2017,1,1,9,1,19805,1767,11298,11057,1215,1544,0
2017,1,1,10,2,19805,1767,11298,11057,1215,1544,0
2017,1,1,16,1,19805,1767,11298,11057,1215,1544,0
2017,1,1,17,2,19805,1767,11298,11057,1215,1544,0
2017,1,1,23,1,19805,1767,11298,11057,1215,1544,0
2017,1,1,24,2,19805,1767,11298,11057,1215,1544,0
2017,1,1,30,1,19805,1767,11298,11057,1215,1544,0
2017,1,1,31,2,19805,1767,11298,11057,1215,1544,0
2017,1,1,1,7,19805,1767,12889,11298,1235,1718,0
2017,1,1,2,1,19805,1767,12889,11298,1235,1718,1
2017,1,1,3,2,19805,1767,12889,11298,1235,1718,0
2017,1,1,4,3,19805,1767,12889,11298,1235,1718,1
2017,1,1,5,4,19805,1767,12889,11298,1235,1718,0
2017,1,1,6,5,19805,1767,12889,11298,1235,1718,1
2017,1,1,7,6,19805,1767,12889,11298,1235,1718,0
2017,1,1,8,7,19805,1767,12889,11298,1235,1718,0
2017,1,1,9,1,19805,1767,12889,11298,615,1058,0
2017,1,1,10,2,19805,1767,12889,11298,615,1058,0
2017,1,1,16,1,19805,1767,12889,11298,615,1058,
2017,1,1,17,2,19805,1767,12889,11298,615,1058,0
2017,1,1,23,1,19805,1767,12889,11298,615,1058,0
2017,1,1,24,2,19805,1767,12889,11298,615,1058,0
2017,1,1,30,1,19805,1767,12889,11298,615,1058,0
2017,1,1,31,2,19805,1767,12889,11298,615,1058,0
2017,1,1,1,7,19805,1768,11278,13303,1020,1313,0
2017,1,1,2,1,19805,1768,11278,13303,1020,1313,0
2017,1,1,3,2,19805,1768,11278,13303,1020,1313,0
2017,1,1,4,3,19805,1768,11278,13303,1020,1313,0
2017,1,1,5,4,19805,1768,11278,13303,1020,1313,0
2017,1,1,6,5,19805,1768,11278,13303,1020,1313,0
